date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:24	569892/569892	---MCZ	200	added ('OK')	text/html	etag:W/%22f4e23daa7859396386e6dfcb33f4bff7%22	https://www.mammothfarms.com/	C:/Users/HP/Documents/File/Website/mammothfarms/www.mammothfarms.com/index.html	(from )
13:51:24	307/307	---MCZ	200	added ('OK')	text/plain	etag:W/%22216-mOMRlzfg5rC1fLWukH3Yp/xQnNA%22	https://www.mammothfarms.com/robots.txt		(from )
13:51:27	11798/11798	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Feb%202025%2021:51:27%20GMT	https://static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png	C:/Users/HP/Documents/File/Website/mammothfarms/static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png	(from https://www.mammothfarms.com/)
13:51:28	1449/1449	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Feb%202025%2021:51:29%20GMT	https://static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png	C:/Users/HP/Documents/File/Website/mammothfarms/static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png	(from https://www.mammothfarms.com/)
13:51:29	10997/10997	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Feb%202025%2021:51:30%20GMT	https://static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030~mv2.png	C:/Users/HP/Documents/File/Website/mammothfarms/static.wixstatic.com/media/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/4f1702_94f368fdeb1646558dab10209f70d030_mv2.png	(from https://www.mammothfarms.com/)
13:51:36	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/HP/Documents/File/Website/mammothfarms/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.mammothfarms.com/)
13:51:39	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/HP/Documents/File/Website/mammothfarms/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.mammothfarms.com/)
13:51:41	2488/2488	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202025%2021:51:42%20GMT	https://www.mammothfarms.com/s	C:/Users/HP/Documents/File/Website/mammothfarms/www.mammothfarms.com/s.5.delayed	(from https://www.mammothfarms.com/)
13:51:43	2489/2489	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202025%2021:51:44%20GMT	https://www.mammothfarms.com/t	C:/Users/HP/Documents/File/Website/mammothfarms/www.mammothfarms.com/t.6.delayed	(from https://www.mammothfarms.com/)
13:51:47	7767/7767	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Feb%202025%2021:51:48%20GMT	https://static.wixstatic.com/media/e11bb1_eaaffe15cff846bd98a9a04647a1560d~mv2.png/v1/fill/w_168,h_116,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Mammoth%20Header%20Logo-05.png	C:/Users/HP/Documents/File/Website/mammothfarms/static.wixstatic.com/media/e11bb1_eaaffe15cff846bd98a9a04647a1560d_mv2.png/v1/fill/w_168,h_116,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Mammoth%20Header%20Logo-05.png	(from https://www.mammothfarms.com/)
